CarNumber,Refund,Fines,Make,Model,Year
T686EO197RUS,1,1000.0,Toyota,Camry,2006
9943OH154RUS,1,400.0,Skoda,Octavia,1995
Y354O8197RUS,1,10800.0,Ford,Focus,1986
7065C8197RUS,1,3800.0,Volkswagen,Passat,1991
E28777161RUS,1,800.0,Ford,Focus,1997
M701T9152RUS,2,3000.0,Ford,Focus,2008
E577HE77RUS,2,12000.0,Ford,Focus,2007
92788M178RUS,1,1200.0,Ford,Focus,2017
9072EM178RUS,2,4400.0,Ford,Focus,1998
9409H7178RUS,1,3000.0,Skoda,Octavia,1991
C3829X154RUS,2,13500.0,Ford,Focus,1989
T478KX197RUS,2,7500.0,Ford,Focus,1981
T119CT96RUS,1,2000.0,Ford,Focus,1998
X795O796RUS,1,1000.0,Ford,Focus,2012
708487163RUS,1,1000.0,Ford,Focus,2014
H983HY161RUS,1,500.0,Ford,Focus,2000
7842C8197RUS,1,6000.0,Ford,Focus,2007
O64097197RUS,2,8594.5864661654,Ford,Focus,2012
Y693HM197RUS,2,6500.0,BMW,,1998
96857X197RUS,1,37800.0,Skoda,Octavia,2001
7177TT36RUS,1,500.0,Ford,Focus,2006
9428EX178RUS,1,500.0,Ford,Focus,1996
84438C154RUS,2,7600.0,Ford,Focus,1991
Y7689C197RUS,2,9000.0,Ford,Focus,2004
H427YH197RUS,1,9900.0,Volkswagen,Passat,2016
T394KX197RUS,2,1500.0,Ford,Focus,1984
O49897197RUS,2,11800.0,Ford,Focus,2006
H963X936RUS,1,1800.0,Skoda,Octavia,1986
T341CC96RUS,2,1000.0,Volkswagen,Passat,2009
9942KK197RUS,2,6200.0,Ford,Focus,2000
9141H8178RUS,1,300.0,Skoda,Octavia,1988
9942KK197RUS,2,3100.0,Ford,Focus,2002
7370C8197RUS,2,5000.0,Ford,Focus,1994
9890HX152RUS,2,9200.0,Ford,Focus,2000
9409H7178RUS,1,6000.0,Skoda,Octavia,1982
M268CH197RUS,1,800.0,Toyota,Camry,1989
Y780EE197RUS,1,2300.0,Volkswagen,Golf,2017
Y388E877RUS,2,9500.0,Ford,Focus,1985
C419X938RUS,1,1100.0,Ford,Focus,1989
M0319X197RUS,2,4500.0,Ford,Focus,2013
M577CH197RUS,2,17000.0,Ford,Focus,2009
7361C8197RUS,1,8594.5864661654,Ford,Focus,1996
H975HY161RUS,1,2000.0,Ford,Focus,2001
X018HY197RUS,2,10600.0,Toyota,Camry,2018
E33177152RUS,2,7100.0,Ford,Focus,2019
X256HE161RUS,2,1600.0,Ford,Focus,2012
Y7689C197RUS,2,45000.0,Ford,Focus,1993
7788KT197RUS,2,4000.0,Ford,Focus,2001
9491H7178RUS,1,500.0,Volkswagen,Jetta,2013
M374CH197RUS,1,5500.0,Ford,Focus,2013
96679X178RUS,2,2400.0,Ford,Focus,1998
9594HY161RUS,1,300.0,Ford,Focus,2016
83218C154RUS,1,100.0,Ford,Focus,1993
9764HY161RUS,1,800.0,Ford,Focus,1987
708187163RUS,1,1000.0,Ford,Focus,1983
H908YK197RUS,1,4800.0,Ford,Focus,2001
H004MH197RUS,2,19800.0,Ford,Focus,2017
92788M178RUS,1,300.0,Ford,Focus,1982
Y656E8750RUS,1,8594.5864661654,Skoda,Octavia,2000
9679EC178RUS,1,500.0,Ford,Focus,2015
O017KO197RUS,1,1600.0,Ford,Focus,1988
H957HY161RUS,1,1000.0,Ford,Focus,2005
X286TC36RUS,1,500.0,Ford,Focus,2017
C803KE163RUS,1,1000.0,Volkswagen,Jetta,2014
Y7379Y50RUS,2,2000.0,Ford,Focus,2011
X320MK197RUS,1,7500.0,Ford,Focus,1992
C476M7161RUS,2,500.0,Ford,Focus,2009
H844YH197RUS,1,1000.0,Ford,Focus,1995
96907X197RUS,2,3000.0,BMW,,2001
Y650E8750RUS,1,1000.0,Skoda,Octavia,1980
H235YH197RUS,2,5100.0,Skoda,Octavia,1985
9474EX178RUS,1,500.0,Ford,Focus,2017
Y8259C197RUS,1,1500.0,Ford,Focus,2017
E29577161RUS,1,500.0,Ford,Focus,1984
X761HY197RUS,2,18300.0,Ford,Focus,2011
H387TM197RUS,1,8594.5864661654,Volkswagen,Passat,2007
T396KX197RUS,2,10300.0,Ford,Focus,2015
C593EY154RUS,1,1000.0,Ford,Focus,1986
Y164O8161RUS,1,800.0,Ford,Focus,1996
M942OT152RUS,1,2000.0,Ford,Focus,1991
T476KX197RUS,2,4500.0,Ford,Focus,2010
H889YK197RUS,2,21200.0,Ford,Focus,1990
Y7429Y50RUS,2,2000.0,Ford,Focus,1981
H976HY161RUS,2,2200.0,Ford,Focus,2019
C410X938RUS,2,2200.0,Ford,Focus,2008
Y195O8161RUS,1,100.0,Ford,Focus,1995
O669E8197RUS,1,18000.0,Ford,Focus,1994
Y187O8161RUS,2,400.0,Ford,Focus,2007
K329T8197RUS,2,13000.0,Skoda,Octavia,2000
96659X178RUS,1,900.0,Ford,Focus,1987
7842C8197RUS,2,12000.0,Ford,Focus,1985
O275O7161RUS,1,8300.0,Ford,Focus,2006
9677MO178RUS,1,2200.0,Ford,Mondeo,1997
H957HY161RUS,1,8594.5864661654,Ford,Focus,2004
M0279X197RUS,2,36000.0,Ford,Focus,1985
9939KK197RUS,1,1600.0,Ford,Focus,2007
Y8399C197RUS,1,600.0,Ford,Focus,1998
M373CH197RUS,2,6600.0,Ford,Focus,2014
7164YM36RUS,2,18800.0,Ford,Focus,1993
7843C8197RUS,2,4100.0,Ford,Focus,2005
O753MX161RUS,2,700.0,Ford,Focus,2010
9468EX178RUS,2,2000.0,Ford,Focus,1985
T395KX197RUS,2,7600.0,Ford,Focus,2008
T6488M116RUS,2,21000.0,Ford,Focus,1986
7361C8197RUS,1,800.0,Ford,Focus,2019
98047H178RUS,1,500.0,Ford,Focus,2008
8316XX154RUS,1,1100.0,Ford,Focus,1981
O752MX161RUS,2,2600.0,Ford,Focus,2010
8234XX154RUS,2,2600.0,Ford,Focus,1989
9488EY178RUS,2,1300.0,Ford,Focus,2016
96857X197RUS,2,18900.0,Skoda,Octavia,1983
O481OH77RUS,2,1000.0,Toyota,Camry,1982
K326T8197RUS,1,100.0,Volkswagen,Passat,1980
90159H178RUS,1,8594.5864661654,Volkswagen,Passat,2011
9469EX178RUS,1,4200.0,Ford,Focus,2015
X796TH96RUS,1,500.0,Ford,Focus,1988
9499KX178RUS,1,4600.0,Ford,Focus,2013
Y358O8197RUS,2,21800.0,Ford,Focus,1987
C420X938RUS,2,3300.0,Ford,Focus,2019
Y965O8197RUS,2,1600.0,Ford,Focus,2003
96429X178RUS,2,1300.0,Ford,Focus,1993
Y274O8197RUS,2,10700.0,Ford,Focus,1992
Y358O8197RUS,1,43600.0,Ford,Focus,2019
E223YM197RUS,2,19500.0,Ford,Focus,2018
E42277152RUS,2,5300.0,Ford,Focus,1995
E34877152RUS,2,36600.0,Ford,Focus,1999
Y964EE197RUS,2,8594.5864661654,Ford,Focus,1987
T6049O50RUS,2,15000.0,Ford,Focus,1999
8601XX154RUS,1,3900.0,Skoda,Octavia,2001
H259HY161RUS,1,900.0,Toyota,Corolla,2017
T940CC96RUS,1,500.0,Ford,Focus,2001
T288CT96RUS,1,1500.0,Ford,Focus,1987
Y6839Y50RUS,1,1500.0,Ford,Focus,2011
Y344E877RUS,1,1000.0,Ford,Focus,1991
K889HY161RUS,2,46200.0,Ford,Mondeo,1986
H214X836RUS,1,8000.0,Ford,Focus,2003
T399KX197RUS,2,15300.0,Ford,Focus,1998
O421OT161RUS,1,1200.0,Skoda,Octavia,1996
H232YH197RUS,1,8594.5864661654,Ford,Focus,2007
7360C8197RUS,2,9600.0,Ford,Focus,2011
T6418M116RUS,1,49200.0,Ford,Focus,1982
7248C8197RUS,2,34400.0,Ford,Mondeo,1987
Y194O8161RUS,2,900.0,Ford,Focus,2001
9881HX152RUS,2,20600.0,Ford,Focus,2005
T6359O50RUS,2,13500.0,Ford,Focus,2011
E29677161RUS,2,6000.0,Ford,Focus,1992
T020MM116RUS,2,3000.0,Skoda,Octavia,2017
C798ET50RUS,1,5000.0,Ford,Focus,1985
Y7719C197RUS,2,4600.0,Ford,Focus,1982
9502XX38RUS,1,3000.0,Skoda,Octavia,2011
8521XX154RUS,1,1000.0,Ford,Focus,1980
Y273O8197RUS,2,26300.0,Ford,Focus,1992
M580CH197RUS,2,47500.0,Ford,Focus,2018
K376HE161RUS,1,100.0,Ford,Focus,1984
7193TT36RUS,2,3300.0,Ford,Focus,1997
O785T9163RUS,1,500.0,Ford,Focus,2006
H618YC38RUS,1,300.0,Volkswagen,Golf,2007
Y7689C197RUS,1,36000.0,Ford,Focus,2013
M592CH197RUS,1,3500.0,Skoda,Octavia,1984
Y352O8197RUS,2,77700.0,Ford,Focus,2016
9068EM178RUS,1,600.0,Ford,Focus,2007
7783KT197RUS,1,6000.0,Ford,Focus,1981
Y305E877RUS,2,2500.0,Ford,Focus,1996
E881OT197RUS,2,5500.0,Skoda,Octavia,1985
Y8259C197RUS,2,3000.0,Ford,Focus,2000
Y969O8197RUS,2,7800.0,Ford,Focus,1980
92928M178RUS,2,3000.0,Ford,Focus,2015
O718MM163RUS,2,7000.0,Ford,Focus,2000
Y7129Y50RUS,1,8594.5864661654,Ford,Focus,2014
9975CC77RUS,2,7000.0,Ford,Focus,2007
C592EY154RUS,1,2000.0,Ford,Focus,1989
T195OK161RUS,1,6700.0,Ford,Mondeo,1983
Y966O8197RUS,2,20800.0,Ford,Focus,1990
T914CT197RUS,2,7200.0,Toyota,Camry,1986
E41977152RUS,2,2400.0,Ford,Focus,2011
T171CC96RUS,1,1000.0,Ford,Focus,2015
9464EX178RUS,2,2100.0,Ford,Focus,1998
O50197197RUS,2,7800.0,Ford,Focus,2016
7608EE777RUS,1,4000.0,Skoda,Octavia,1986
X583HE161RUS,1,3000.0,Ford,Focus,2018
Y7229Y50RUS,2,2500.0,Ford,Focus,1986
M6977E152RUS,1,500.0,Ford,Focus,2002
K2797K154RUS,1,800.0,Ford,Focus,2003
8325M7154RUS,1,1000.0,Ford,Focus,1993
Y192O8161RUS,2,300.0,Ford,Focus,1986
7784KT197RUS,1,6600.0,Ford,Focus,2006
96599X178RUS,1,500.0,Ford,Focus,2014
X760HY197RUS,1,10100.0,Ford,Focus,1982
Y358O8197RUS,2,10900.0,Ford,Focus,2003
H966HY161RUS,1,500.0,Ford,Focus,2007
9938KK197RUS,2,28500.0,Ford,Focus,1988
98087H178RUS,1,8594.5864661654,Ford,Focus,2014
K2807K154RUS,1,500.0,Ford,Focus,1997
H977HY161RUS,1,600.0,Ford,Focus,1991
7367C8197RUS,1,6000.0,Ford,Focus,1988
9137X938RUS,1,1600.0,Ford,Focus,1996
Y356O8197RUS,2,15300.0,Ford,Focus,2012
9398MM199RUS,1,300.0,Volkswagen,Passat,1985
8436XX154RUS,1,2400.0,Ford,Focus,2016
8180XX154RUS,2,1400.0,Ford,Focus,2006
E53477152RUS,1,7200.0,Ford,Focus,1990
O718MM163RUS,2,3500.0,Ford,Focus,2007
9677MO178RUS,1,1100.0,Ford,Mondeo,1980
9498KX178RUS,1,4000.0,Ford,Focus,1980
K436MO152RUS,2,3000.0,Ford,Focus,2005
7194TT36RUS,2,2300.0,Ford,Focus,2013
7364C8197RUS,2,4500.0,Ford,Focus,1994
O136HO197RUS,2,7800.0,Toyota,Corolla,1995
O68897197RUS,2,12300.0,Ford,Focus,2006
O718MM163RUS,2,8594.5864661654,Ford,Focus,1998
7065C8197RUS,2,11400.0,Volkswagen,Passat,2015
O22097197RUS,1,24300.0,Ford,Focus,1997
Y163O8161RUS,2,1600.0,Ford,Focus,2003
M0309X197RUS,1,22300.0,Ford,Focus,2015
O673E8197RUS,2,600.0,Ford,Focus,1993
8610T8154RUS,1,2000.0,Ford,Focus,1987
H419XE197RUS,2,8594.5864661654,Toyota,Corolla,1981
Y351O8197RUS,1,300.0,Ford,Focus,1998
H917TC36RUS,2,1400.0,Ford,Focus,1996
C589EY154RUS,2,8594.5864661654,Ford,Focus,2014
K846YE77RUS,2,12000.0,Volkswagen,Passat,1996
X4108H125RUS,2,1000.0,Ford,Focus,1984
K2807K154RUS,1,24300.0,Ford,Focus,1999
T395KX197RUS,2,900.0,Ford,Focus,2009
7065C8197RUS,2,8200.0,Volkswagen,Passat,2000
Y275O8197RUS,1,500.0,Ford,Focus,2018
9469EX178RUS,2,300.0,Ford,Focus,2015
K040CC197RUS,1,8594.5864661654,Ford,Focus,2019
M0269X197RUS,1,18500.0,Ford,Focus,1993
T6129O50RUS,2,1000.0,Ford,Focus,2010
T6329O50RUS,2,3800.0,Ford,Focus,2012
7827C8197RUS,1,8594.5864661654,Ford,Focus,1998
8611T8154RUS,2,1000.0,Ford,Focus,2017
7831C8197RUS,2,8594.5864661654,Ford,Focus,1986
K329T8197RUS,2,900.0,Skoda,Octavia,1982
X015HY197RUS,1,6800.0,Toyota,Corolla,1999
M580CH197RUS,2,8594.5864661654,Ford,Focus,2011
O68897197RUS,2,500.0,Ford,Focus,2014
7066C8197RUS,1,8594.5864661654,Volkswagen,Passat,2008
T914CT197RUS,1,10600.0,Toyota,Camry,2008
O421OT161RUS,1,6000.0,Skoda,Octavia,1992
T242H8197RUS,1,2400.0,Skoda,Octavia,1993
92828M178RUS,2,8594.5864661654,Ford,Focus,1996
K559KC161RUS,1,39600.0,Ford,Focus,2015
Y7709C197RUS,1,500.0,Ford,Focus,1995
K558KC161RUS,1,11400.0,Ford,Focus,1995
83218C154RUS,2,17500.0,Ford,Focus,1996
7147OE161RUS,1,500.0,Ford,Focus,2007
8166XX154RUS,2,300.0,Ford,Focus,1992
M0269X197RUS,1,4400.0,Ford,Focus,2013
C589EY154RUS,2,37800.0,Ford,Focus,2019
8436XX154RUS,1,4800.0,Ford,Focus,1986
9468EX178RUS,2,1000.0,Ford,Focus,1993
H004MH197RUS,2,7900.0,Ford,Focus,1982
Y7449Y50RUS,1,8000.0,Ford,Focus,1988
9589EY178RUS,1,1600.0,Ford,Focus,2003
92928M178RUS,2,5500.0,Ford,Focus,2002
T476KX197RUS,2,800.0,Ford,Focus,2013
92918M178RUS,1,8594.5864661654,Ford,Focus,1989
Y973O8197RUS,2,1500.0,Ford,Focus,1999
E53277152RUS,1,12000.0,Ford,Focus,2012
T6319O50RUS,2,8594.5864661654,Ford,Focus,1980
M581CH197RUS,2,1000.0,Ford,Focus,1984
Y358O8197RUS,2,2800.0,Ford,Focus,1992
O058M7161RUS,1,3800.0,Ford,Focus,1988
X023HY197RUS,2,2300.0,Volvo,,1994
8166XX154RUS,1,300.0,Ford,Focus,2000
7199MT197RUS,2,4200.0,Volkswagen,Golf,1999
7827C8197RUS,2,100.0,Ford,Focus,2000
O02597197RUS,2,7100.0,Ford,Focus,2012
X757HY197RUS,1,19800.0,Ford,Focus,1998
9498KX178RUS,2,100.0,Ford,Focus,2000
Y4298M777RUS,2,2600.0,Skoda,Octavia,2018
Y351O8197RUS,2,1000.0,Ford,Focus,2007
Y7129Y50RUS,2,1500.0,Ford,Focus,2002
Y354O8197RUS,1,3400.0,Ford,Focus,2012
M581CH197RUS,1,1500.0,Ford,Focus,1990
E40577152RUS,2,1000.0,Ford,Focus,1982
H387TM197RUS,1,12300.0,Volkswagen,Passat,2004
Y7719C197RUS,1,24200.0,Ford,Focus,2013
K330T8197RUS,2,5800.0,Skoda,Octavia,2005
X286TC36RUS,2,2100.0,Ford,Focus,1999
Y156E877RUS,2,2000.0,Ford,Focus,2003
O752MX161RUS,2,180000.0,Ford,Focus,2017
T017OX197RUS,2,12000.0,Toyota,Corolla,2016
T940CC96RUS,2,72600.0,Ford,Focus,1992
O481OH77RUS,2,2400.0,Toyota,Camry,1981
99209X178RUS,2,100.0,Skoda,Octavia,2013
Y6829Y50RUS,2,2500.0,Ford,Focus,1994
E5878M777RUS,1,7500.0,Skoda,Octavia,1991
E40877152RUS,1,6500.0,Ford,Focus,2006
C313MM99RUS,2,16000.0,Toyota,Camry,1990
H234YH197RUS,2,3300.0,Ford,Focus,1988
T171CC96RUS,2,1000.0,Ford,Focus,2008
84438C154RUS,2,1000.0,Ford,Focus,1985
C58078163RUS,1,28100.0,Ford,Focus,1992
X255HE161RUS,2,3000.0,Ford,Focus,2000
T399KX197RUS,2,12700.0,Ford,Focus,1997
92928M178RUS,2,6800.0,Ford,Focus,1988
Y7709C197RUS,1,1500.0,Ford,Focus,2008
M580CH197RUS,1,2200.0,Ford,Focus,1991
Y7719C197RUS,2,8800.0,Ford,Focus,1987
H889YK197RUS,2,800.0,Ford,Focus,1982
M701T9152RUS,2,63300.0,Ford,Focus,1982
8605T8154RUS,1,500.0,Ford,Focus,2004
E432XX77RUS,2,2200.0,Toyota,Camry,1988
9942KK197RUS,1,2000.0,Ford,Focus,2019
X015HY197RUS,2,24200.0,Toyota,Corolla,1989
Y780EE197RUS,2,1500.0,Volkswagen,Golf,1996
8436XX154RUS,1,2000.0,Ford,Focus,2000
H219X836RUS,1,7000.0,Ford,Focus,2004
Y273O8197RUS,1,800.0,Ford,Focus,2001
94178K154RUS,1,11400.0,Ford,Focus,2016
E811HE77RUS,2,1500.0,Ford,Focus,1990
Y354O8197RUS,2,600.0,Ford,Focus,1996
Y353O8197RUS,1,19200.0,Ford,Focus,1990
M701T9152RUS,1,10700.0,Ford,Focus,1992
Y650E8750RUS,2,11000.0,Skoda,Octavia,1989
Y351O8197RUS,2,3000.0,Ford,Focus,1995
X015HY197RUS,1,3000.0,Toyota,Corolla,2016
X786CO96RUS,1,29700.0,Ford,Focus,1990
Y388E877RUS,2,1100.0,Ford,Focus,1989
T6439O50RUS,2,200.0,Ford,Focus,2009
E0697X152RUS,1,2500.0,Skoda,Octavia,1989
C515X938RUS,2,3000.0,Ford,Focus,2013
Y7689C197RUS,2,10000.0,Ford,Focus,2003
Y966O8197RUS,2,8200.0,Ford,Focus,2017
O39897197RUS,2,1500.0,Ford,Focus,2013
Y7699C197RUS,1,1600.0,Ford,Focus,1981
M589CH197RUS,2,10800.0,Volkswagen,,1992
O085E8197RUS,2,9000.0,Volkswagen,Golf,2018
Y038E877RUS,1,8594.5864661654,Ford,Focus,2003
7844C8197RUS,1,8600.0,Ford,Focus,1984
92788M178RUS,2,18800.0,Ford,Focus,1982
7164YM36RUS,2,1100.0,Ford,Focus,2016
H968HY161RUS,2,2600.0,Ford,Focus,2007
O78097197RUS,2,7800.0,Ford,Focus,1999
K338T8197RUS,2,8594.5864661654,Ford,Focus,1984
9398MM199RUS,1,2900.0,Volkswagen,Passat,1990
T018OX197RUS,2,1000.0,Toyota,Corolla,2013
E5878M777RUS,2,1800.0,Skoda,Octavia,2014
8166XX154RUS,1,1000.0,Ford,Focus,2016
96629X178RUS,1,2200.0,Ford,Focus,1994
K559KC161RUS,2,12900.0,Ford,Focus,1994
C412X938RUS,2,2500.0,Ford,Focus,2008
K846YE77RUS,1,1500.0,Volkswagen,Passat,1998
X4108H125RUS,2,300.0,Ford,Focus,1983
C477M7161RUS,2,2000.0,Ford,Focus,1995
9523M8178RUS,2,8594.5864661654,Skoda,Octavia,2012
Y8259C197RUS,1,2000.0,Ford,Focus,1994
7370C8197RUS,1,27800.0,Ford,Focus,2005
E432XX77RUS,1,1000.0,Toyota,Camry,1993
C419X938RUS,1,1600.0,Ford,Focus,1999
H232YH197RUS,1,9500.0,Ford,Focus,2004
Y163O8161RUS,2,3000.0,Ford,Focus,2012
7066C8197RUS,1,2900.0,Volkswagen,Passat,1986
Y305E877RUS,1,9000.0,Ford,Focus,2007
E432XX77RUS,2,12000.0,Toyota,Camry,1997
8226XX154RUS,2,6500.0,Ford,Focus,1982
9398MM199RUS,1,7000.0,Volkswagen,Passat,2008
73467Y96RUS,2,12900.0,Ford,Focus,2015
Y358O8197RUS,2,500.0,Ford,Focus,2012
7784KT197RUS,2,500.0,Ford,Focus,2005
9499KX178RUS,2,52600.0,Ford,Focus,2007
9470EX178RUS,1,100.0,Ford,Focus,2007
X767HY197RUS,1,1600.0,Ford,Focus,2013
Y8259C197RUS,1,1200.0,Ford,Focus,2008
Y352O8197RUS,1,2200.0,Ford,Focus,2006
Y7129Y50RUS,2,3000.0,Ford,Focus,2007
Y963O8197RUS,2,6700.0,Ford,Focus,2004
K379HY161RUS,2,12000.0,Volkswagen,Golf,2019
708487163RUS,1,12000.0,Ford,Focus,2000
H982HY161RUS,2,9600.0,Ford,Focus,1992
M741T9152RUS,1,500.0,Ford,Focus,2017
8611T8154RUS,2,300.0,Ford,Focus,2003
Y232E877RUS,2,1500.0,Ford,Focus,1986
M0269X197RUS,1,41700.0,Ford,Focus,1993
T016OX197RUS,2,21800.0,Toyota,Corolla,2007
Y7649C197RUS,1,8594.5864661654,Ford,Focus,1993
97987H178RUS,2,14300.0,Ford,Focus,1986
8611T8154RUS,2,2500.0,Ford,Focus,1983
Y964O8197RUS,1,2500.0,Ford,Focus,1989
934497178RUS,1,1400.0,Skoda,Octavia,1987
O752MX161RUS,2,500.0,Ford,Focus,1988
H214X836RUS,1,18900.0,Ford,Focus,1992
H004MH197RUS,1,7600.0,Ford,Focus,2000
7784KT197RUS,2,4300.0,Ford,Focus,1984
Y275O8197RUS,2,6100.0,Ford,Focus,1982
7831C8197RUS,1,1300.0,Ford,Focus,1996
X763HY197RUS,2,13900.0,Ford,Focus,2011
7361C8197RUS,1,7100.0,Ford,Focus,1987
9499KX178RUS,2,7500.0,Ford,Focus,1999
O421OT161RUS,1,700.0,Skoda,Octavia,1989
H967HY161RUS,1,5100.0,Ford,Focus,1990
O058M7161RUS,1,20600.0,Ford,Focus,2002
97998K152RUS,1,500.0,Ford,Focus,2010
Y255E877RUS,2,5800.0,Ford,Focus,2013
9881HX152RUS,2,1000.0,Ford,Focus,1993
Y163O8161RUS,2,8594.5864661654,Ford,Focus,1999
8180XX154RUS,2,5800.0,Ford,Focus,2001
Y7709C197RUS,1,5800.0,Ford,Focus,1996
7361C8197RUS,1,8594.5864661654,Ford,Focus,1993
8611T8154RUS,1,8594.5864661654,Ford,Focus,1986
8603T8154RUS,2,1600.0,Ford,Focus,2013
K339T8197RUS,1,1000.0,Ford,Focus,2010
Y163O8161RUS,2,3300.0,Ford,Focus,2006
9020YC197RUS,1,12000.0,Skoda,Octavia,1991
H976HY161RUS,1,11400.0,Ford,Focus,2008
H963HY161RUS,2,4000.0,Ford,Focus,1994
E53677152RUS,1,1600.0,Ford,Focus,2009
E577HE77RUS,2,1600.0,Ford,Focus,2000
K846YE77RUS,2,2000.0,Volkswagen,Passat,2005
M942OT152RUS,1,500.0,Ford,Focus,2002
Y187O8161RUS,2,600.0,Ford,Focus,2011
7064C8197RUS,1,39600.0,Volkswagen,Passat,1999
8437XX154RUS,2,13200.0,Ford,Focus,1995
C410X938RUS,1,8594.5864661654,Ford,Focus,1993
YQY187O8161RUS,2,1600.0,Skoda,Focus,2012
YQY187O8162RUS,2,2000.0,Ford,Focus,1987
YQY187O8163RUS,2,8600.0,Ford,Focus,1989
YQY187O8164RUS,2,1300.0,Ford,Focus,1999
YQY187O8165RUS,1,5500.0,Ford,Focus,2007
